,date,admits
390,07/08/21,63.0
391,07/09/21,63.0
392,07/10/21,66.0
393,07/11/21,69.0
394,07/12/21,76.0
395,07/13/21,74.0
396,07/14/21,77.0
397,07/15/21,78.0
398,07/16/21,75.0
399,07/17/21,78.0
400,07/18/21,81.0
401,07/19/21,82.0
402,07/20/21,85.0
403,07/21/21,89.0
404,07/22/21,93.0
405,07/23/21,97.0
406,07/24/21,99.0
407,07/25/21,105.0
408,07/26/21,111.0
409,07/27/21,115.0
410,07/28/21,123.0
411,07/29/21,123.0
412,07/30/21,124.0
413,07/31/21,131.0
414,08/01/21,136.0
415,08/02/21,140.0
416,08/03/21,150.0
417,08/04/21,151.0
418,08/05/21,161.0
419,08/06/21,162.0
420,08/07/21,170.0
421,08/08/21,177.0
422,08/09/21,181.0
423,08/10/21,188.0
424,08/11/21,202.0
425,08/12/21,204.0
426,08/13/21,209.0
427,08/14/21,214.0
428,08/15/21,220.0
429,08/16/21,224.0
430,08/17/21,232.0
431,08/18/21,236.0
432,08/19/21,230.0
433,08/20/21,221.0
434,08/21/21,226.0
435,08/22/21,233.0
436,08/23/21,236.0
437,08/24/21,235.0
438,08/25/21,246.0
439,08/26/21,249.0
440,08/27/21,242.0
441,08/28/21,239.0
442,08/29/21,243.0
443,08/30/21,241.0
444,08/31/21,248.0
445,09/01/21,249.0
446,09/02/21,238.0
447,09/03/21,233.0
448,09/04/21,233.0
449,09/05/21,227.0
450,09/06/21,231.0
451,09/07/21,229.0
452,09/08/21,233.0
453,09/09/21,225.0
454,09/10/21,223.0
455,09/11/21,216.0
456,09/12/21,218.0
457,09/13/21,218.0
458,09/14/21,210.0
459,09/15/21,203.0
460,09/16/21,195.0
461,09/17/21,192.0
462,09/18/21,191.0
463,09/19/21,189.0
464,09/20/21,184.0
465,09/21/21,184.0
466,09/22/21,191.0
467,09/23/21,189.0
468,09/24/21,179.0
469,09/25/21,176.0
470,09/26/21,172.0
471,09/27/21,176.0
472,09/28/21,172.0
473,09/29/21,175.0
474,09/30/21,168.0
475,10/01/21,165.0
476,10/02/21,166.0
477,10/03/21,163.0
478,10/04/21,155.0
479,10/05/21,152.0
480,10/06/21,160.0
481,10/07/21,154.0
482,10/08/21,150.0
483,10/09/21,151.0
484,10/10/21,152.0
485,10/11/21,152.0
486,10/12/21,150.0
487,10/13/21,146.0
488,10/14/21,140.0
489,10/15/21,134.0
490,10/16/21,133.0
491,10/17/21,132.0
492,10/18/21,136.0
493,10/19/21,135.0
494,10/20/21,132.0
495,10/21/21,126.0
496,10/22/21,122.0
497,10/23/21,122.0
498,10/24/21,121.0
499,10/25/21,119.0
500,10/26/21,120.0
501,10/27/21,123.0
502,10/28/21,125.0
503,10/29/21,120.0
504,10/30/21,125.0
505,10/31/21,128.0
506,11/01/21,126.0
507,11/02/21,130.0
508,11/03/21,132.0
509,11/04/21,128.0
510,11/05/21,125.0
511,11/06/21,134.0
512,11/07/21,131.0
513,11/08/21,145.0
514,11/09/21,148.0
515,11/10/21,153.0
516,11/11/21,155.0
517,11/12/21,157.0
518,11/13/21,160.0
519,11/14/21,170.0
520,11/15/21,173.0
521,11/16/21,182.0
522,11/17/21,193.0
523,11/18/21,190.0
524,11/19/21,191.0
525,11/20/21,197.0
526,11/21/21,204.0
527,11/22/21,208.0
528,11/23/21,209.0
529,11/24/21,221.0
530,11/25/21,220.0
531,11/26/21,226.0
532,11/27/21,238.0
533,11/28/21,247.0
534,11/29/21,251.0
535,11/30/21,254.0
536,12/01/21,269.0
537,12/02/21,282.0
538,12/03/21,278.0
539,12/04/21,289.0
540,12/05/21,306.0
541,12/06/21,324.0
542,12/07/21,336.0
543,12/08/21,348.0
544,12/09/21,354.0
545,12/10/21,361.0
546,12/11/21,365.0
547,12/12/21,372.0
548,12/13/21,371.0
549,12/14/21,380.0
550,12/15/21,399.0
551,12/16/21,395.0
552,12/17/21,388.0
553,12/18/21,388.0
554,12/19/21,398.0
555,12/20/21,412.0
556,12/21/21,434.0
557,12/22/21,436.0
558,12/23/21,439.0
559,12/24/21,441.0
560,12/25/21,467.0
561,12/26/21,497.0
562,12/27/21,522.0
563,12/28/21,564.0
564,12/29/21,580.0
565,12/30/21,594.0
566,12/31/21,577.0
567,01/01/22,645.0
568,01/02/22,661.0
569,01/03/22,673.0
570,01/04/22,678.0
571,01/05/22,709.0
572,01/06/22,694.0
573,01/07/22,685.0
574,01/08/22,683.0
575,01/09/22,687.0
576,01/10/22,678.0
577,01/11/22,678.0
578,01/12/22,685.0
579,01/13/22,664.0
580,01/14/22,637.0
581,01/15/22,608.0
582,01/16/22,596.0
583,01/17/22,573.0
584,01/18/22,548.0
585,01/19/22,528.0
586,01/20/22,487.0
587,01/21/22,448.0
588,01/22/22,428.0
589,01/23/22,409.0
590,01/24/22,395.0
591,01/25/22,370.0
592,01/26/22,357.0
593,01/27/22,333.0
594,01/28/22,307.0
595,01/29/22,296.0
596,01/30/22,289.0
597,01/31/22,268.0
598,02/01/22,265.0
599,02/02/22,261.0
600,02/03/22,237.0
601,02/04/22,221.0
602,02/05/22,217.0
603,02/06/22,214.0
604,02/07/22,204.0
605,02/08/22,198.0
606,02/09/22,189.0
607,02/10/22,175.0
608,02/11/22,156.0
609,02/12/22,151.0
610,02/13/22,141.0
611,02/14/22,133.0
612,02/15/22,131.0
613,02/16/22,132.0
614,02/17/22,124.0
615,02/18/22,114.0
616,02/19/22,110.0
617,02/20/22,109.0
618,02/21/22,97.0
619,02/22/22,100.0
620,02/23/22,89.0
621,02/24/22,84.0
622,02/25/22,72.0
623,02/26/22,82.0
624,02/27/22,82.0
625,02/28/22,79.0
626,03/01/22,72.0
627,03/02/22,75.0
628,03/03/22,65.0
629,03/04/22,62.0
630,03/05/22,62.0
631,03/06/22,64.0
632,03/07/22,65.0
633,03/08/22,63.0
634,03/09/22,62.0
635,03/10/22,60.0
636,03/11/22,57.0
637,03/12/22,58.0
638,03/13/22,58.0
639,03/14/22,56.0
640,03/15/22,55.0
641,03/16/22,58.0
642,03/17/22,57.0
643,03/18/22,58.0
644,03/19/22,56.0
645,03/20/22,56.0
646,03/21/22,54.0
647,03/22/22,57.0
648,03/23/22,57.0
649,03/24/22,56.0
650,03/25/22,53.0
651,03/26/22,55.0
652,03/27/22,50.0
653,03/28/22,50.0
654,03/29/22,51.0
655,03/30/22,53.0
656,03/31/22,52.0
657,04/01/22,48.0
658,04/02/22,49.0
659,04/03/22,51.0
660,04/04/22,57.0
661,04/05/22,55.0
662,04/06/22,58.0
663,04/07/22,59.0
