,date,hospitalized,,
460,4/14/21,1032,,
461,4/15/21,1050,,
462,4/16/21,1072,,
463,4/17/21,1086,,
464,4/18/21,1100,,
465,4/19/21,1118,,
466,4/20/21,1124,,
467,4/21/21,1130,,
468,4/22/21,1130,,
469,4/23/21,1122,,
470,4/24/21,1115,,
471,4/25/21,1104,,
472,4/26/21,1091,,
473,4/27/21,1088,,
474,4/28/21,1087,,
475,4/29/21,1080,,
476,4/30/21,1074,,
477,5/1/21,1067,,
478,5/2/21,1056,,
479,5/3/21,1046,,
480,5/4/21,1035,,
481,5/5/21,1032,,
482,5/6/21,1033,,
483,5/7/21,1033,,
484,5/8/21,1036,,
485,5/9/21,1037,,
486,5/10/21,1032,,
487,5/11/21,1024,,
488,5/12/21,1004,,
489,5/13/21,981,,
490,5/14/21,953,,
491,5/15/21,933,,
492,5/16/21,902,,
493,5/17/21,868,,
494,5/18/21,842,,
495,5/19/21,823,,
496,5/20/21,806,,
497,5/21/21,789,,
498,5/22/21,772,,
499,5/23/21,763,,
500,5/24/21,758,,
501,5/25/21,749,,
502,5/26/21,737,,
503,5/27/21,723,,
504,5/28/21,710,,
505,5/29/21,690,,
506,5/30/21,675,,
507,5/31/21,650,,
508,6/1/21,619,,
509,6/2/21,595,,
510,6/3/21,572,,
511,6/4/21,549,,
512,6/5/21,528,,
513,6/6/21,501,,
514,6/7/21,482,,
515,6/8/21,471,,
516,6/9/21,455,,
517,6/10/21,443,,
518,6/11/21,431,,
519,6/12/21,421,,
520,6/13/21,412,,
521,6/14/21,400,,
522,6/15/21,386,,
523,6/16/21,365,,
524,6/17/21,346,,
525,6/18/21,330,,
526,6/19/21,313,,
527,6/20/21,298,,
528,6/21/21,284,,
529,6/22/21,271,,
530,6/23/21,263,,
531,6/24/21,256,,
532,6/25/21,248,,
533,6/26/21,245,,
534,6/27/21,240,,
535,6/28/21,237,,
536,6/29/21,231,,
537,6/30/21,226,,
538,7/1/21,222,,
539,7/2/21,218,,
540,7/3/21,211,,
541,7/4/21,204,,
542,7/5/21,202,,
543,7/6/21,206,,
544,7/7/21,207,,
545,7/8/21,208,,
546,7/9/21,206,,
547,7/10/21,208,,
548,7/11/21,208,,
549,7/12/21,210,,
550,7/13/21,203,,
551,7/14/21,204,,
552,7/15/21,201,,
553,7/16/21,200,,
554,7/17/21,201,,
555,7/18/21,206,,
556,7/19/21,206,,
557,7/20/21,213,,
558,7/21/21,219,,
559,7/22/21,234,,
560,7/23/21,247,,
561,7/24/21,264,,
562,7/25/21,278,,
563,7/26/21,291,,
564,7/27/21,304,,
565,7/28/21,314,,
566,7/29/21,319,,
567,7/30/21,324,,
568,7/31/21,327,,
569,8/1/21,331,,
570,8/2/21,340,,
571,8/3/21,347,,
572,8/4/21,362,,
573,8/5/21,373,,
574,8/6/21,395,,
575,8/7/21,413,,
576,8/8/21,436,,
577,8/9/21,455,,
578,8/10/21,475,,
579,8/11/21,495,,
580,8/12/21,520,,
581,8/13/21,539,,
582,8/14/21,563,,
583,8/15/21,586,,
584,8/16/21,612,,
585,8/17/21,635,,
586,8/18/21,654,,
587,8/19/21,674,,
588,8/20/21,685,,
589,8/21/21,695,,
590,8/22/21,701,,
591,8/23/21,710,,
592,8/24/21,725,,
593,8/25/21,736,,
594,8/26/21,751,,
595,8/27/21,763,,
596,8/28/21,775,,
597,8/29/21,789,,
598,8/30/21,797,,
599,8/31/21,798,,
600,9/1/21,805,,
601,9/2/21,804,,
602,9/3/21,815,,
603,9/4/21,818,,
604,9/5/21,821,,
605,9/6/21,829,,
606,9/7/21,836,,
607,9/8/21,846,,
608,9/9/21,853,,
609,9/10/21,854,,
610,9/11/21,861,,
611,9/12/21,864,,
612,9/13/21,866,,
613,9/14/21,866,,
614,9/15/21,860,,
615,9/16/21,849,,
616,9/17/21,839,,
617,9/18/21,823,,
618,9/19/21,811,,
