,PY,ToIHT
534,3310.0,83.0
535,3283.0,62.0
536,3181.0,71.0
537,3094.0,80.0
538,2784.0,58.0
539,2628.0,60.0
540,2650.0,64.0
541,2610.0,73.0
542,2584.0,51.0
543,2623.0,58.0
544,2500.0,45.0
545,2295.0,48.0
546,2130.0,43.0
547,2005.0,42.0
548,1992.0,47.0
549,1914.0,35.0
550,1882.0,40.0
551,1911.0,40.0
552,1794.0,40.0
553,1641.0,36.0
554,1572.0,25.0
555,1546.0,32.0
556,1580.0,37.0
557,1555.0,46.0
558,1488.0,33.0
559,1358.0,30.0
560,1.0,0.0
561,1.0,0.0
562,1.0,0.0
563,1.0,0.0
564,2.0,0.0
565,4.0,1.0
566,2.0,0.0
567,2.0,0.0
568,1.0,0.0
569,3.0,1.0
570,6.0,0.0
571,5.0,0.0
572,10.0,0.0
573,18.0,0.0
574,20.0,0.0
575,25.0,1.0
576,32.0,1.0
577,50.0,2.0
578,81.0,2.0
579,104.0,1.0
580,128.0,2.0
581,164.0,4.0
582,239.0,12.0
583,347.0,14.0
584,488.0,12.0
585,666.0,19.0
586,940.0,31.0
587,1165.0,20.0
588,1395.0,39.0
589,1743.0,53.0
590,2122.0,43.0
591,2621.0,49.0
592,3011.0,64.0
593,3210.0,73.0
594,3348.0,67.0
595,3618.0,95.0
596,3890.0,102.0
597,4369.0,103.0
598,4892.0,116.0
599,5454.0,118.0
600,5891.0,133.0
601,6329.0,155.0
602,6806.0,142.0
603,7582.0,164.0
604,8174.0,174.0
605,8284.0,164.0
606,8118.0,168.0
607,7815.0,168.0
608,7502.0,154.0
609,7240.0,161.0
610,7030.0,175.0
611,7117.0,158.0
612,7020.0,162.0
613,6960.0,155.0
614,6694.0,138.0
615,6400.0,164.0
616,6155.0,146.0
617,6019.0,114.0
618,6061.0,123.0
619,6106.0,112.0
620,6095.0,124.0
621,6001.0,120.0
622,5695.0,133.0
623,5586.0,150.0
624,5595.0,132.0
625,5737.0,140.0
626,5717.0,140.0
627,5566.0,121.0
628,5501.0,107.0
629,5304.0,126.0
630,5073.0,130.0
631,4951.0,114.0
632,4819.0,108.0
633,4802.0,110.0
634,4740.0,119.0
635,4750.0,113.0
636,4463.0,94.0
637,4208.0,111.0
638,4196.0,94.0
639,4153.0,102.0
640,4137.0,90.0
641,4077.0,89.0
642,4050.0,82.0
643,3842.0,101.0
644,3628.0,83.0
645,3519.0,92.0
646,3443.0,77.0
647,3387.0,77.0
648,3420.0,75.0
649,3291.0,71.0
650,3191.0,75.0
651,3121.0,67.0
652,3007.0,70.0
653,2973.0,75.0
654,2980.0,82.0
655,3000.0,64.0
656,2871.0,59.0
657,2794.0,59.0
658,2613.0,56.0
659,2432.0,57.0
660,2426.0,52.0
661,2449.0,61.0
662,2452.0,63.0
663,2399.0,45.0
664,2289.0,44.0
665,2260.0,47.0
