,date,hospitalized,SMA7,SMA_ratio7,SMA8,SMA_ratio8,SMA9,SMA_ratio9,SMA10,SMA_ratio10,SMA11,SMA_ratio11,SMA12,SMA_ratio12,SMA13,SMA_ratio13,SMA14,SMA_ratio14,SMA15,SMA_ratio15,SMA16,SMA_ratio16,SMA17,SMA_ratio17,SMA18,SMA_ratio18,SMA19,SMA_ratio19
31,2020-07-14,52.0,361.0,0.405134520381852,413.0,0.463491847417465,464.0,0.5207269181639317,517.0,0.5802065014886911,569.0,0.6385638285243042,623.0,0.69916566813821,676.0,0.7586452514629695,728.0,0.8170025784985825,781.0,0.8764821618233419,833.0,0.934839488858955,886.0,0.9943190721837144,938.0,1.0526763992193273,990.0,1.1110337262549403
32,2020-07-15,50.0,359.0,0.41372175404823175,411.0,0.47364802482959123,463.0,0.5335742956109507,514.0,0.5923481381080533,567.0,0.6534268371736697,619.0,0.7133531079550292,673.0,0.7755842353049024,726.0,0.8366629343705189,778.0,0.8965892051518783,831.0,0.9576679042174947,883.0,1.0175941749988542,936.0,1.0786728740644707,988.0,1.1385991448458301
33,2020-07-16,52.0,360.0,0.4204851752021564,411.0,0.4800539083557952,463.0,0.5407906558849955,515.0,0.601527403414196,566.0,0.6610961365678347,619.0,0.7230008984725966,671.0,0.7837376460017971,725.0,0.8468104222821204,778.0,0.9087151841868824,830.0,0.9694519317160828,883.0,1.0313566936208447,935.0,1.092093441150045,988.0,1.1539982030548068
34,2020-07-17,53.0,362.0,0.44951394309231535,413.0,0.5128432555169233,464.0,0.5761725679415313,516.0,0.6407436315901511,568.0,0.705314695238771,619.0,0.768644007663379,672.0,0.8344568225360108,724.0,0.8990278861846307,778.0,0.9660824522812744,831.0,1.0318952671539063,883.0,1.0964663308025262,936.0,1.162279145675158,988.0,1.2268502093237779
35,2020-07-18,52.0,362.0,0.452702243675695,414.0,0.5177312952534191,465.0,0.5815097881469563,516.0,0.6452882810404934,568.0,0.7103173326182175,620.0,0.7753463841959417,671.0,0.8391248770894788,724.0,0.90540448735139,776.0,0.9704335389291141,830.0,1.0379637078752122,883.0,1.1042433181371234,935.0,1.1692723697148475,988.0,1.2355519799767587
36,2020-07-19,55.0,366.0,0.44867478697265933,417.0,0.5111950441737676,469.0,0.574941188770976,520.0,0.6374614459720843,571.0,0.6999817031731925,623.0,0.7637278477704009,675.0,0.8274739923676094,726.0,0.8899942495687176,779.0,0.9549662815620262,831.0,1.0187124261592346,885.0,1.0849103455486435,938.0,1.149882377541952,990.0,1.2136285221391605
37,2020-07-20,56.0,370.0,0.44035541320485877,422.0,0.5022432010066227,473.0,0.5629408390429681,525.0,0.6248286268447321,576.0,0.6855262648810775,627.0,0.7462239029174229,679.0,0.8081116907191868,731.0,0.8699994785209507,782.0,0.9306971165572961,835.0,0.9937750541244786,887.0,1.0556628419262426,941.0,1.1199309292588435,994.0,1.1830088668260261
38,2020-07-21,56.0,374.0,0.4540889821788698,426.0,0.5172243486850228,478.0,0.5803597151911758,529.0,0.6422809400337489,581.0,0.705416306539902,632.0,0.7673375313824752,683.0,0.8292587562250483,735.0,0.8923941227312013,787.0,0.9555294892373543,838.0,1.0174507140799274,891.0,1.0818002222496603,943.0,1.1449355887558135,997.0,1.210499238589126
39,2020-07-22,57.0,381.0,0.459041214960656,431.0,0.5192828442205846,483.0,0.5819341386509103,535.0,0.6445854330812361,586.0,0.7060318949263632,638.0,0.768683189356689,689.0,0.8301296512018161,740.0,0.8915761130469433,792.0,0.9542274074772691,844.0,1.0168787019075949,895.0,1.078325163752722,948.0,1.1421812907682463,1000.0,1.2048325851985722
40,2020-07-23,56.0,385.0,0.4657292449342254,437.0,0.5286329351591078,487.0,0.5891172526830332,539.0,0.6520209429079156,591.0,0.714924633132798,642.0,0.7766186370072019,694.0,0.8395223272320843,745.0,0.9012163311064881,796.0,0.9629103349808921,848.0,1.0258140252057744,900.0,1.0887177154306569,951.0,1.1504117193050607,1004.0,1.2145250958804217
