,date,hospitalized,SMA7,SMA_ratio7,SMA8,SMA_ratio8,SMA9,SMA_ratio9,SMA10,SMA_ratio10,SMA11,SMA_ratio11,SMA12,SMA_ratio12,SMA13,SMA_ratio13,SMA14,SMA_ratio14
481,2021-10-07,154.0,1115.0,0.6745311554748942,1283.0,0.7761645493042952,1458.0,0.8820326678765881,1630.0,0.9860859044162129,1806.0,1.0925589836660616,1978.0,1.1966122202056866,2154.0,1.3030852994555353,2333.0,1.411373260738052
482,2021-10-08,150.0,1100.0,0.6528189910979229,1265.0,0.7507418397626113,1433.0,0.8504451038575668,1608.0,0.9543026706231454,1780.0,1.056379821958457,1956.0,1.1608308605341247,2128.0,1.2629080118694362,2304.0,1.3673590504451039
483,2021-10-09,151.0,1085.0,0.6959589480436177,1251.0,0.8024374599101989,1416.0,0.9082745349583066,1584.0,1.0160359204618346,1759.0,1.128287363694676,1931.0,1.2386144964720975,2107.0,1.3515073765234125,2279.0,1.4618345093008338
484,2021-10-10,152.0,1074.0,0.678030303030303,1237.0,0.7809343434343434,1403.0,0.8857323232323232,1568.0,0.98989898989899,1736.0,1.095959595959596,1911.0,1.206439393939394,2083.0,1.3150252525252526,2259.0,1.4261363636363635
485,2021-10-11,152.0,1071.0,0.6506682867557716,1226.0,0.7448359659781288,1389.0,0.8438639125151883,1555.0,0.9447144592952612,1720.0,1.0449574726609963,1888.0,1.1470230862697448,2063.0,1.2533414337788578,2235.0,1.3578371810449574
486,2021-10-12,150.0,1069.0,0.6619195046439629,1221.0,0.7560371517027864,1376.0,0.8520123839009288,1539.0,0.9529411764705882,1705.0,1.0557275541795665,1870.0,1.1578947368421053,2038.0,1.2619195046439629,2213.0,1.3702786377708978
487,2021-10-13,146.0,1055.0,0.6589631480324797,1215.0,0.7589006870705809,1367.0,0.853841349156777,1522.0,0.9506558400999375,1685.0,1.052467207995003,1851.0,1.156152404747033,2016.0,1.259212991880075,2184.0,1.3641474078700813
488,2021-10-14,140.0,1041.0,0.6716129032258065,1195.0,0.7709677419354839,1355.0,0.8741935483870967,1507.0,0.9722580645161291,1662.0,1.072258064516129,1825.0,1.1774193548387097,1991.0,1.284516129032258,2156.0,1.3909677419354838
489,2021-10-15,134.0,1025.0,0.7044673539518901,1175.0,0.8075601374570447,1329.0,0.9134020618556701,1489.0,1.0233676975945016,1641.0,1.1278350515463917,1796.0,1.234364261168385,1959.0,1.3463917525773197,2125.0,1.4604810996563573
490,2021-10-16,133.0,1007.0,0.7366495976591075,1158.0,0.8471104608632041,1308.0,0.9568397951719093,1462.0,1.06949524506218,1622.0,1.1865398683247987,1774.0,1.2977322604242867,1929.0,1.4111192392099488,2092.0,1.5303584491587419
491,2021-10-17,132.0,987.0,0.6955602536997886,1139.0,0.802677942212826,1290.0,0.9090909090909091,1440.0,1.014799154334038,1594.0,1.1233262861169837,1754.0,1.2360817477096546,1906.0,1.343199436222692,2061.0,1.452431289640592
492,2021-10-18,136.0,971.0,0.6809256661991585,1123.0,0.7875175315568023,1275.0,0.894109396914446,1426.0,1.0,1576.0,1.1051893408134643,1730.0,1.2131837307152875,1890.0,1.3253856942496494,2042.0,1.4319775596072932
493,2021-10-19,135.0,956.0,0.6917510853835022,1106.0,0.8002894356005789,1258.0,0.91027496382055,1410.0,1.020260492040521,1561.0,1.1295224312590448,1711.0,1.2380607814761215,1865.0,1.349493487698987,2025.0,1.4652677279305355
494,2021-10-20,132.0,942.0,0.719633307868602,1088.0,0.8311688311688312,1238.0,0.9457601222307105,1390.0,1.0618792971734148,1542.0,1.1779984721161192,1693.0,1.293353705118411,1843.0,1.4079449961802903,1997.0,1.5255920550038198
495,2021-10-21,126.0,928.0,0.7267032106499608,1068.0,0.836335160532498,1214.0,0.9506656225528582,1364.0,1.0681284259984338,1516.0,1.187157400156617,1668.0,1.3061863743148003,1819.0,1.4244322631166797,1969.0,1.5418950665622553
496,2021-10-22,122.0,916.0,0.731629392971246,1050.0,0.8386581469648562,1190.0,0.950479233226837,1336.0,1.0670926517571886,1486.0,1.1869009584664536,1638.0,1.3083067092651757,1790.0,1.4297124600638977,1941.0,1.5503194888178913
497,2021-10-23,122.0,905.0,0.7280772325020113,1038.0,0.835076427996782,1172.0,0.9428801287208367,1312.0,1.0555108608205954,1458.0,1.172968624296058,1608.0,1.2936444086886565,1760.0,1.415929203539823,1912.0,1.5382139983909895
498,2021-10-24,121.0,894.0,0.7462437395659433,1026.0,0.8564273789649416,1159.0,0.9674457429048414,1293.0,1.0792988313856426,1433.0,1.1961602671118532,1579.0,1.3180300500834725,1729.0,1.4432387312186978,1881.0,1.5701168614357262
499,2021-10-25,119.0,877.0,0.7130081300813008,1013.0,0.8235772357723578,1145.0,0.9308943089430894,1278.0,1.0390243902439025,1412.0,1.1479674796747967,1552.0,1.2617886178861788,1698.0,1.3804878048780487,1848.0,1.502439024390244
500,2021-10-26,120.0,862.0,0.7013832384052074,997.0,0.8112286411716843,1133.0,0.9218877135882831,1265.0,1.029292107404394,1398.0,1.1375101708706266,1532.0,1.2465419039869814,1672.0,1.3604556550040683,1818.0,1.4792514239218877
501,2021-10-27,123.0,853.0,0.6946254071661238,985.0,0.8021172638436482,1120.0,0.9120521172638436,1256.0,1.022801302931596,1388.0,1.1302931596091206,1521.0,1.238599348534202,1655.0,1.3477198697068404,1795.0,1.461726384364821
502,2021-10-28,125.0,852.0,0.678343949044586,978.0,0.7786624203821656,1110.0,0.8837579617834395,1245.0,0.9912420382165605,1381.0,1.0995222929936306,1513.0,1.2046178343949046,1646.0,1.3105095541401275,1780.0,1.4171974522292994
